,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
0,042WY7UCV,STFH21,2021-03-15 04:00:00,1,1,3,0.3333333333333333
1,042WY7UCV,STFH21,2021-03-15 05:00:00,0,0,0,
2,042WY7UCV,STFH21,2021-03-15 06:00:00,0,0,0,
3,042WY7UCV,STFH21,2021-03-15 07:00:00,0,0,0,
4,042WY7UCV,STFH21,2021-03-15 08:00:00,3,2,2,1.0
5,042WY7UCV,STFH21,2021-03-15 09:00:00,-28,52,91,0.5714285714285714
6,042WY7UCV,STFH21,2021-03-15 10:00:00,30,59,126,0.46825396825396826
7,042WY7UCV,STFH21,2021-03-15 11:00:00,43,49,104,0.47115384615384615
8,042WY7UCV,STFH21,2021-03-15 12:00:00,15,34,67,0.5074626865671642
9,042WY7UCV,STFH21,2021-03-15 13:00:00,24,19,45,0.4222222222222222
10,042WY7UCV,STFH21,2021-03-15 14:00:00,17,28,50,0.56
11,042WY7UCV,STFH21,2021-03-15 15:00:00,54,108,217,0.4976958525345622
12,042WY7UCV,STFH21,2021-03-15 16:00:00,13,16,26,0.6153846153846154
13,042WY7UCV,TYGH21,2021-03-15 03:00:00,5,3,14,0.21428571428571427
14,042WY7UCV,TYGH21,2021-03-15 04:00:00,-9,6,14,0.42857142857142855
15,042WY7UCV,TYGH21,2021-03-15 05:00:00,0,2,4,0.5
16,042WY7UCV,TYGH21,2021-03-15 06:00:00,2,11,24,0.4583333333333333
17,042WY7UCV,TYGH21,2021-03-15 07:00:00,-42,25,48,0.5208333333333334
18,042WY7UCV,TYGH21,2021-03-15 08:00:00,-15,180,358,0.5027932960893855
19,042WY7UCV,TYGH21,2021-03-15 09:00:00,-128,248,484,0.512396694214876
20,042WY7UCV,TYGH21,2021-03-15 10:00:00,96,200,394,0.5076142131979695
21,042WY7UCV,TYGH21,2021-03-15 11:00:00,-48,155,304,0.5098684210526315
22,042WY7UCV,TYGH21,2021-03-15 12:00:00,-114,145,280,0.5178571428571429
23,042WY7UCV,TYGH21,2021-03-15 13:00:00,15,201,397,0.5062972292191436
