,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
684,1265MMDIKQ6M2QH,TYGM21,2021-03-16 13:00:00,-8,32,78,0.41025641025641024
685,1265MMDIKQ6M2QH,TYGM21,2021-03-16 13:30:00,-1,23,53,0.4339622641509434
686,1265MMDIKQ6M2QH,TYGM21,2021-03-16 14:00:00,7,29,57,0.5087719298245614
687,1265MMDIKQ6M2QH,TYGM21,2021-03-16 14:30:00,40,81,147,0.5510204081632653
688,1265MMDIKQ6M2QH,TYGM21,2021-03-16 15:00:00,6,54,108,0.5
689,1265MMDIKQ6M2QH,TYGM21,2021-03-16 15:30:00,5,56,106,0.5283018867924528
690,1265MMDIKQ6M2QH,TYGM21,2021-03-16 16:00:00,-6,5,12,0.4166666666666667
691,12660HNF4CILP1,FYGM21,2021-03-16 07:00:00,28,6,9,0.6666666666666666
692,12660HNF4CILP1,FYGM21,2021-03-16 07:30:00,-9,2,3,0.6666666666666666
693,12660HNF4CILP1,FYGM21,2021-03-16 08:00:00,68,28,42,0.6666666666666666
694,12660HNF4CILP1,FYGM21,2021-03-16 08:30:00,7,9,14,0.6428571428571429
695,12660HNF4CILP1,FYGM21,2021-03-16 09:00:00,33,2,7,0.2857142857142857
696,12660HNF4CILP1,FYGM21,2021-03-16 09:30:00,-26,23,42,0.5476190476190477
697,12660HNF4CILP1,FYGM21,2021-03-16 10:00:00,-12,12,19,0.631578947368421
698,12660HNF4CILP1,FYGM21,2021-03-16 10:30:00,-1,0,3,0.0
699,12660HNF4CILP1,FYGM21,2021-03-16 11:00:00,-22,4,12,0.3333333333333333
700,12660HNF4CILP1,FYGM21,2021-03-16 11:30:00,-3,5,17,0.29411764705882354
701,12660HNF4CILP1,FYGM21,2021-03-16 12:00:00,-12,6,13,0.46153846153846156
702,12660HNF4CILP1,FYGM21,2021-03-16 12:30:00,-24,12,24,0.5
703,12660HNF4CILP1,FYGM21,2021-03-16 13:00:00,38,2,5,0.4
704,12660HNF4CILP1,FYGM21,2021-03-16 13:30:00,-4,4,6,0.6666666666666666
705,12660HNF4CILP1,FYGM21,2021-03-16 14:00:00,-32,2,6,0.3333333333333333
706,12660HNF4CILP1,FYGM21,2021-03-16 14:30:00,0,7,15,0.4666666666666667
707,12660HNF4CILP1,FYGM21,2021-03-16 15:00:00,13,3,4,0.75
