,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
0,042WY7UCV,STFH21,2021-03-15 04:00:00,1,1,3,0.3333333333333333
1,042WY7UCV,STFH21,2021-03-15 08:00:00,48,162,323,0.5015479876160991
2,042WY7UCV,STFH21,2021-03-15 12:00:00,110,189,379,0.49868073878627966
3,042WY7UCV,STFH21,2021-03-15 16:00:00,13,16,26,0.6153846153846154
4,042WY7UCV,TYGH21,2021-03-15 00:00:00,5,3,14,0.21428571428571427
5,042WY7UCV,TYGH21,2021-03-15 04:00:00,-49,44,90,0.4888888888888889
6,042WY7UCV,TYGH21,2021-03-15 08:00:00,-95,783,1540,0.5084415584415585
7,042WY7UCV,TYGH21,2021-03-15 12:00:00,-164,518,1028,0.5038910505836576
8,1265MMDIKQ6M2QH,FYGH21,2021-03-15 04:00:00,5,12,20,0.6
9,1265MMDIKQ6M2QH,FYGH21,2021-03-15 08:00:00,-45,63,124,0.5080645161290323
10,1265MMDIKQ6M2QH,FYGH21,2021-03-15 12:00:00,-10,128,260,0.49230769230769234
11,1265MMDIKQ6M2QH,FYGH21,2021-03-15 16:00:00,-7,3,5,0.6
12,1265MMDIKQ6M2QH,TYGH21,2021-03-15 04:00:00,12,88,180,0.4888888888888889
13,1265MMDIKQ6M2QH,TYGH21,2021-03-15 08:00:00,73,687,1417,0.4848270995059986
14,1265MMDIKQ6M2QH,TYGH21,2021-03-15 12:00:00,28,641,1283,0.49961028838659394
15,1265MMDIKQ6M2QH,TYGH21,2021-03-15 16:00:00,3,10,17,0.5882352941176471
16,12660HNF4CILP1,FYGH21,2021-03-15 04:00:00,4,1,1,1.0
17,12660HNF4CILP1,FYGH21,2021-03-15 08:00:00,74,34,74,0.4594594594594595
18,12660HNF4CILP1,FYGH21,2021-03-15 12:00:00,-71,46,104,0.4423076923076923
19,12660HNF4CILP1,FYGH21,2021-03-15 16:00:00,-27,3,7,0.42857142857142855
20,12660HNF4CILP1,STFH21,2021-03-15 00:00:00,8,11,16,0.6875
21,12660HNF4CILP1,STFH21,2021-03-15 04:00:00,11,53,94,0.5638297872340425
22,12660HNF4CILP1,STFH21,2021-03-15 08:00:00,3,240,496,0.4838709677419355
23,12660HNF4CILP1,STFH21,2021-03-15 12:00:00,-36,120,247,0.48582995951417
24,12660HNF4CILP1,STFH21,2021-03-15 16:00:00,2,8,15,0.5333333333333333
25,12660HNF4CILP1,STFH21,2021-03-15 20:00:00,3,8,14,0.5714285714285714
26,12660HNF4CILP1,TYGH21,2021-03-15 00:00:00,19,9,21,0.42857142857142855
27,12660HNF4CILP1,TYGH21,2021-03-15 04:00:00,-124,107,221,0.4841628959276018
28,12660HNF4CILP1,TYGH21,2021-03-15 08:00:00,-280,623,1265,0.4924901185770751
29,12660HNF4CILP1,TYGH21,2021-03-15 12:00:00,74,514,1099,0.467697907188353
30,12660HNF4CILP1,TYGH21,2021-03-15 16:00:00,10,36,66,0.5454545454545454
31,12660HNF4CILP1,TYGH21,2021-03-15 20:00:00,-25,15,26,0.5769230769230769
32,1268,FYGH21,2021-03-15 00:00:00,5,3,5,0.6
33,1268,FYGH21,2021-03-15 04:00:00,-2,3,5,0.6
34,1268,FYGH21,2021-03-15 08:00:00,46,75,151,0.4966887417218543
35,1268,FYGH21,2021-03-15 12:00:00,59,102,174,0.5862068965517241
36,1268,FYGH21,2021-03-15 16:00:00,0,0,0,
37,1268,FYGH21,2021-03-15 20:00:00,-7,1,5,0.2
38,1268,STFH21,2021-03-15 00:00:00,10,13,32,0.40625
39,1268,STFH21,2021-03-15 04:00:00,19,32,60,0.5333333333333333
40,1268,STFH21,2021-03-15 08:00:00,-25,257,508,0.5059055118110236
41,1268,STFH21,2021-03-15 12:00:00,-12,265,526,0.5038022813688213
42,1268,STFH21,2021-03-15 16:00:00,0,1,2,0.5
43,1268,STFH21,2021-03-15 20:00:00,0,10,17,0.5882352941176471
44,1268,TYGH21,2021-03-15 00:00:00,-2,115,244,0.4713114754098361
45,1268,TYGH21,2021-03-15 04:00:00,-96,424,810,0.5234567901234568
46,1268,TYGH21,2021-03-15 08:00:00,255,2018,4023,0.5016157096694009
47,1268,TYGH21,2021-03-15 12:00:00,-259,1699,3409,0.49838662364329717
48,1268,TYGH21,2021-03-15 16:00:00,0,0,0,
49,1268,TYGH21,2021-03-15 20:00:00,33,80,138,0.5797101449275363
50,126WID,STFH21,2021-03-15 00:00:00,-9,8,16,0.5
51,126WID,STFH21,2021-03-15 04:00:00,-1,19,30,0.6333333333333333
52,126WID,STFH21,2021-03-15 08:00:00,14,41,85,0.4823529411764706
53,126WID,STFH21,2021-03-15 12:00:00,5,12,26,0.46153846153846156
54,126WID,STFH21,2021-03-15 16:00:00,0,0,0,
55,126WID,STFH21,2021-03-15 20:00:00,-1,4,5,0.8
56,126WID,TYGH21,2021-03-15 00:00:00,5,30,73,0.410958904109589
57,126WID,TYGH21,2021-03-15 04:00:00,40,102,178,0.5730337078651685
58,126WID,TYGH21,2021-03-15 08:00:00,263,473,885,0.5344632768361582
59,126WID,TYGH21,2021-03-15 12:00:00,-72,407,802,0.5074812967581047
60,126WID,TYGH21,2021-03-15 16:00:00,0,0,0,
61,126WID,TYGH21,2021-03-15 20:00:00,3,16,28,0.5714285714285714
62,126ZAQ39VIIU,FYGH21,2021-03-15 08:00:00,-96,58,100,0.58
63,126ZAQ39VIIU,FYGH21,2021-03-15 12:00:00,-32,61,133,0.45864661654135336
64,126ZAQ39VIIU,FYGH21,2021-03-15 16:00:00,0,3,5,0.6
65,126ZAQ39VIIU,STFH21,2021-03-15 00:00:00,4,27,59,0.4576271186440678
66,126ZAQ39VIIU,STFH21,2021-03-15 04:00:00,-27,74,128,0.578125
67,126ZAQ39VIIU,STFH21,2021-03-15 08:00:00,-35,303,614,0.49348534201954397
68,126ZAQ39VIIU,STFH21,2021-03-15 12:00:00,-40,328,630,0.5206349206349207
69,126ZAQ39VIIU,STFH21,2021-03-15 16:00:00,5,38,77,0.4935064935064935
70,126ZAQ39VIIU,STFH21,2021-03-15 20:00:00,2,6,12,0.5
71,126ZAQ39VIIU,TYGH21,2021-03-15 00:00:00,-70,115,206,0.558252427184466
72,126ZAQ39VIIU,TYGH21,2021-03-15 04:00:00,-59,337,693,0.4862914862914863
73,126ZAQ39VIIU,TYGH21,2021-03-15 08:00:00,49,662,1355,0.4885608856088561
74,126ZAQ39VIIU,TYGH21,2021-03-15 12:00:00,-145,578,1190,0.4857142857142857
75,126ZAQ39VIIU,TYGH21,2021-03-15 16:00:00,19,28,52,0.5384615384615384
76,126ZAQ39VIIU,TYGH21,2021-03-15 20:00:00,7,43,75,0.5733333333333334
77,554DBL6,STFH21,2021-03-15 00:00:00,-6,6,6,1.0
78,554DBL6,STFH21,2021-03-15 04:00:00,-13,21,45,0.4666666666666667
79,554DBL6,STFH21,2021-03-15 08:00:00,-23,51,99,0.5151515151515151
80,554DBL6,STFH21,2021-03-15 12:00:00,-3,30,64,0.46875
81,554DBL6,STFH21,2021-03-15 16:00:00,-10,4,8,0.5
82,554DBL6,STFH21,2021-03-15 20:00:00,1,16,32,0.5
83,554DBL6,TYGH21,2021-03-15 00:00:00,-8,30,63,0.47619047619047616
84,554DBL6,TYGH21,2021-03-15 04:00:00,1,49,104,0.47115384615384615
85,554DBL6,TYGH21,2021-03-15 08:00:00,6,129,251,0.5139442231075697
86,554DBL6,TYGH21,2021-03-15 12:00:00,-94,135,265,0.5094339622641509
87,554DBL6,TYGH21,2021-03-15 16:00:00,7,13,26,0.5
88,554DBL6,TYGH21,2021-03-15 20:00:00,80,54,127,0.4251968503937008
89,042WY7UCV,STFM21,2021-03-16 00:00:00,-8,12,23,0.5217391304347826
90,042WY7UCV,STFM21,2021-03-16 04:00:00,2,5,12,0.4166666666666667
91,042WY7UCV,STFM21,2021-03-16 08:00:00,20,355,743,0.477792732166891
