,account,num_trades,quantity,StdInventory,NetPosition,Unnamed: 0,ask_share,bid_share,BBO_share,both_share,mmlabel,hftlabel
0,020X68X3J,758.8262108262109,3175.3475783475783,0.17216204766077298,0.19739129631871277,0.0,0.6359580592105263,0.637085389254386,0.8085686220760234,0.4644748263888889,0,0
1,02863MCF9O,66.22222222222223,287.24444444444447,0.22228921779312003,0.26421580665128935,1.0,0.0059449404761904,0.0055059523809523,0.0114211309523809,2.976190476190476e-05,0,0
2,028C2PZD1K8G,207.1,1020.9666666666667,0.13522876667756506,0.16446730773291166,2.0,0.0249625157828282,0.0249072758838383,0.049648832070707,0.0002209595959595,0,0
3,03609,33.57142857142857,52.07142857142857,0.18118773636666624,0.19960886268479516,3.0,0.0012655336257309,0.0011970029239766,0.0024625365497076,0.0,0,0
4,0360BWG4BB0FW,10.0,505.0,0.4997993637115741,0.6752475247524753,,,,,,0,0
5,0360D7HWN,30.232142857142858,132.89285714285714,0.4386947094066575,0.5655309771688173,4.0,0.0005425347222222,0.0006184895833333,0.0011610243055555,0.0,0,0
6,0360TDBMGNTFBA,18.0,39.0,0.278842960415889,0.3846153846153846,5.0,0.0006076388888888,0.0009548611111111,0.0015625,0.0,0,0
7,0360TE,310.84615384615387,1081.4615384615386,0.13258527233875506,0.1544131612047859,6.0,0.0302734375,0.030787037037037,0.061060474537037,0.0,0,0
8,0360VVRQ4,162.47058823529412,377.05882352941177,0.10245263276138308,0.13517325802130173,7.0,0.0070149739583333,0.0067708333333333,0.0137858072916666,0.0,0,0
9,03613RSAC,8.428571428571429,18.857142857142858,0.5660220874921761,0.5948316433491635,8.0,0.0002387152777777,0.0001736111111111,0.0004123263888888,0.0,0,0
10,0361C9785KQEH,11.142857142857142,81.95238095238095,0.2818547287987873,0.379528029494583,9.0,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0,0,0
11,0361IZ7OSH,6.4,10.4,0.36478803422471595,0.48,10.0,8.680555555555556e-05,8.680555555555556e-05,0.0001736111111111,0.0,0,0
12,03623,42.0,66.0,0.08240960997200096,0.06961170961170958,11.0,0.0035300925925925,0.0037905092592592,0.0073206018518518,0.0,0,0
13,0362UVDBE7RV3,99.83333333333333,397.8333333333333,0.21644850017282347,0.25252556999451253,12.0,0.044068287037037,0.0426504629629629,0.0861979166666666,0.0005208333333333,0,0
14,0363CQ9Z83,225.5,429.7857142857143,0.0357439851048804,0.046139026371389835,13.0,0.0110532407407407,0.0112702546296296,0.0222981770833333,2.531828703703704e-05,0,0
15,0363LI43,104.0,214.20754716981133,0.10613891588993715,0.13059522344193736,14.0,0.0121054292929292,0.0125,0.0244061710858585,0.0001992582070707,0,0
16,0363W,75.79166666666667,178.33333333333334,0.11150879428932531,0.1317168882509038,15.0,0.0001838235294117,0.0001838235294117,0.0003676470588235,0.0,0,0
17,03642HL0TZ,3.8333333333333335,6.0,0.16931510768766703,0.5429179179179179,16.0,0.0004464285714285,0.0003968253968253,0.0008432539682539,0.0,0,0
