,account,ask_share,bid_share,BBO_share,both_share
0,020X68X3J,0.6359580592105263,0.637085389254386,0.8085686220760234,0.4644748263888889
1,02863MCF9O,0.005944940476190476,0.005505952380952381,0.011421130952380952,2.9761904761904762e-05
2,028C2PZD1K8G,0.024962515782828282,0.024907275883838384,0.04964883207070707,0.00022095959595959597
3,03609,0.0012655336257309943,0.0011970029239766083,0.0024625365497076023,0.0
4,0360D7HWN,0.0005425347222222222,0.0006184895833333333,0.0011610243055555556,0.0
5,0360TDBMGNTFBA,0.0006076388888888889,0.0009548611111111111,0.0015625,0.0
6,0360TE,0.0302734375,0.030787037037037036,0.061060474537037036,0.0
7,0360VVRQ4,0.0070149739583333336,0.0067708333333333336,0.013785807291666667,0.0
8,03613RSAC,0.00023871527777777777,0.00017361111111111112,0.0004123263888888889,0.0
9,0361C9785KQEH,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
10,0361IZ7OSH,8.680555555555556e-05,8.680555555555556e-05,0.00017361111111111112,0.0
11,03623,0.0035300925925925925,0.003790509259259259,0.007320601851851852,0.0
12,0362UVDBE7RV3,0.04406828703703704,0.042650462962962966,0.08619791666666667,0.0005208333333333333
13,0363CQ9Z83,0.01105324074074074,0.01127025462962963,0.022298177083333332,2.5318287037037036e-05
14,0363LI43,0.012105429292929293,0.0125,0.024406171085858585,0.00019925820707070708
15,0363W,0.0001838235294117647,0.0001838235294117647,0.0003676470588235294,0.0
16,03642HL0TZ,0.0004464285714285714,0.0003968253968253968,0.0008432539682539683,0.0
17,036495C3FG3C88D,0.0027488425925925927,0.0034288194444444444,0.006177662037037037,0.0
18,0364HLPGNA,0.007581018518518518,0.008101851851851851,0.01568287037037037,0.0
19,0365RWG,0.009778025793650794,0.009505208333333333,0.019283234126984128,0.0
20,0365T,0.00014467592592592592,0.0002025462962962963,0.00034722222222222224,0.0
21,0365UVYNUXYTS,0.020707614942528735,0.020306513409961684,0.04059806034482759,0.0004160680076628352
22,03682O,0.0002748842592592593,0.0003327546296296296,0.0006076388888888889,0.0
23,0368NIYO9QS,0.0023567802755620013,0.0030819434372733865,0.005438723712835388,0.0
24,0368QV819M,0.0022569444444444442,0.0032118055555555554,0.00546875,0.0
25,036A9QQL34J15N,0.0009548611111111111,0.0010416666666666667,0.0019965277777777776,0.0
26,036AF,0.043482349537037036,0.04283854166666667,0.0863208912037037,0.0
27,036APW4CXOLG3O,0.007587448559670782,0.0075392232510288065,0.015091306584362139,3.536522633744856e-05
28,036AYAE0CD,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
29,036B5I1PDCREG,0.00028935185185185184,0.0003279320987654321,0.0006172839506172839,0.0
30,036BLFIKS1PPB,0.001414207175925926,0.001537181712962963,0.002951388888888889,0.0
31,036BQK,0.018391927083333332,0.01865234375,0.03704427083333333,0.0
32,036BY,0.0007378472222222222,0.0005642361111111111,0.0013020833333333333,0.0
33,036C0G2X,0.0006076388888888889,0.0006944444444444445,0.0013020833333333333,0.0
34,036D6IXOUF6ZGI,0.0002025462962962963,0.0002025462962962963,0.0004050925925925926,0.0
35,036DF9GY3EKT,0.018786168981481482,0.019075520833333335,0.03786168981481482,0.0
36,036DMKI8XMRG,0.000390625,0.00034722222222222224,0.0007378472222222222,0.0
37,036DPEMDRIWLT2R,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
38,036EREFDKOH8,0.0011067708333333333,0.0011338975694444445,0.0022406684027777776,0.0
39,036FCQ8TSWDB,0.0006076388888888889,0.0005208333333333333,0.0011284722222222221,0.0
40,036G8,0.001953125,0.0020399305555555557,0.003993055555555555,0.0
41,036GG2L,0.0049479166666666664,0.0038194444444444443,0.008767361111111111,0.0
42,036H6YL2AA921HD,0.0007233796296296296,0.0006076388888888889,0.0013310185185185185,0.0
43,036HEF8E18,0.002387152777777778,0.0025173611111111113,0.004904513888888889,0.0
44,036I207,0.0020709325396825397,0.0023561507936507935,0.004427083333333333,0.0
45,036I3W1B1YL52,0.0008680555555555555,0.00078125,0.0016493055555555556,0.0
46,036IAW29E42Y,0.007339015151515152,0.007780934343434343,0.01511205808080808,7.891414141414141e-06
47,036IHTHWTXGCT3G,0.08651413690476191,0.08644593253968254,0.17242063492063492,0.0005394345238095238
48,036IV4QV,0.055938946759259256,0.05562065972222222,0.11150896990740741,5.063657407407407e-05
49,036IZG,0.0012152777777777778,0.0019097222222222222,0.003125,0.0
50,036J2M3SFPZ1O,0.00034722222222222224,0.00017361111111111112,0.0005208333333333333,0.0
51,036J6I,0.00043402777777777775,0.00047743055555555554,0.0009114583333333333,0.0
52,036JQAUWKPC,0.00078125,0.0018229166666666667,0.0026041666666666665,0.0
53,036JQH0QYBZC,6.343482905982906e-05,6.009615384615385e-05,0.0001235309829059829,0.0
54,036KLPCC8OFPMF,0.002156784188034188,0.0023370726495726495,0.004493856837606837,0.0
55,036L42WBVBDRHBY,0.0005208333333333333,0.00017361111111111112,0.0006944444444444445,0.0
56,036LB25G,0.0040885416666666665,0.004097222222222223,0.008185763888888888,0.0
57,036M4V2UUJH,0.0011574074074074073,0.0010706018518518519,0.0022280092592592594,0.0
58,036M5,0.008159722222222223,0.008506944444444444,0.016666666666666666,0.0
59,036MB0NUZDZLXHB,0.0002777777777777778,0.00020833333333333335,0.0004861111111111111,0.0
60,036MCLOCZV2,0.00017361111111111112,0.0,0.00017361111111111112,0.0
61,036MH,0.00013020833333333333,8.680555555555556e-05,0.00021701388888888888,0.0
62,036MS,0.00265758547008547,0.0030381944444444445,0.005695779914529914,0.0
63,036MT2NE,0.0006076388888888889,0.00030381944444444445,0.0009114583333333333,0.0
64,036MXCXDF,0.03253038194444444,0.03361545138888889,0.06614583333333333,0.0
65,036NEHNMG,0.10989583333333333,0.1101658950617284,0.22006172839506172,0.0
66,036NODO80,0.00017361111111111112,0.00017361111111111112,0.00034722222222222224,0.0
67,036O5MUM95K0,0.002495659722222222,0.002495659722222222,0.004991319444444444,0.0
68,036OFG8A960,0.00026041666666666666,0.00026041666666666666,0.0005208333333333333,0.0
69,036OLO5,0.00012152777777777777,0.00019097222222222223,0.0003125,0.0
70,036P6BZKVEON7ZD,0.012662760416666667,0.012424045138888888,0.024978298611111113,0.00010850694444444444
71,036QBCZ6DGD,0.0032432033096926713,0.003269060283687943,0.0065122635933806145,0.0
72,036QE,0.0004918981481481481,0.0006076388888888889,0.001099537037037037,0.0
73,036QG71LJHB5,0.024001736111111113,0.023914930555555554,0.04791666666666667,0.0
74,036QYXBFJG4P0EU,8.680555555555556e-05,0.00043402777777777775,0.0005208333333333333,0.0
75,036R4S17DLV1UJU,0.0031105324074074073,0.003081597222222222,0.00619212962962963,0.0
76,036R7XQMB,0.002662037037037037,0.0026475694444444446,0.0053059895833333336,3.6168981481481483e-06
77,036R844QA,0.00017361111111111112,0.0,0.00017361111111111112,0.0
78,036RW3YK,0.013871527777777778,0.013796296296296296,0.02766010802469136,7.71604938271605e-06
79,036SI6F5,0.005642361111111111,0.004774305555555556,0.010416666666666666,0.0
80,036TH0,0.0006770833333333334,0.0005729166666666667,0.00125,0.0
81,036TRT,0.013503086419753086,0.012509645061728395,0.02601273148148148,0.0
82,036U8217QOE1M,0.00045138888888888887,0.0004166666666666667,0.0008680555555555555,0.0
83,036VOB99LD2,0.0006221064814814815,0.0006799768518518519,0.0013020833333333333,0.0
84,036XUR5YRCP,0.014467592592592593,0.01394675925925926,0.02841435185185185,0.0
85,036Z20HT5O2UI8,0.008463541666666666,0.008463541666666666,0.016927083333333332,0.0
86,036Z6,0.003761574074074074,0.003703703703703704,0.007465277777777778,0.0
87,036ZVJ,0.00026041666666666666,8.680555555555556e-05,0.00034722222222222224,0.0
88,03801E4K,0.001915922619047619,0.0019221230158730158,0.0038380456349206347,0.0
89,0382FN5VJMB3HG,6.944444444444444e-05,3.472222222222222e-05,0.00010416666666666667,0.0
90,0382G0PX,0.0030164930555555557,0.003200954861111111,0.006217447916666666,0.0
91,0388ED9BV2F4,0.00034722222222222224,0.00036651234567901237,0.0007137345679012345,0.0
92,0388IZZVD,0.01135752688172043,0.011615143369175627,0.022972670250896058,0.0
93,0388JGBGGRS1OGN,4.340277777777778e-05,4.340277777777778e-05,8.680555555555556e-05,0.0
94,03891T073FWRU,0.0016059027777777777,0.0016611426767676768,0.0032670454545454543,0.0
95,03897NW,0.00017361111111111112,0.00017361111111111112,0.00034722222222222224,0.0
96,038A8,0.001388888888888889,0.000925925925925926,0.0023148148148148147,0.0
