,account,externalSymbol,date,num_trades,NetPosition,StdInventory,eod,quantity
56,472TXO1Y,TMCM21,20210315,5.0,0.8571428571428571,0.6842119018024339,-24.0,28.0
57,694IJ,TMCM21,20210315,3.0,0.9731543624161074,0.7775367053249778,145.0,149.0
58,350AYDK5RKT,TMCM21,20210315,75.0,0.2786885245901639,0.23626004032659603,34.0,122.0
59,177OBKDJ58RR,TMCM21,20210315,2.0,0.3333333333333333,0.2668005786996909,-1.0,3.0
60,082HVJKJ6PHXK,TMCM21,20210315,24.0,0.30297029702970296,0.24520856969590193,306.0,1010.0
61,082XGRWQV,TMCM21,20210315,2.0,1.0,0.855694630893512,-17.0,17.0
62,082OQG7HJ72,TMCM21,20210315,3.0,1.0,0.8402435028513275,195.0,195.0
63,0909LDBX1NMKW3U,TMCM21,20210315,4.0,0.3333333333333333,0.2675168231527303,51.0,153.0
64,472EQSG98Z2I,TMCM21,20210315,1.0,1.0,0.8025504694581859,-39.0,39.0
65,472W4B72X0,TMCM21,20210315,1.0,1.0,0.8039797679537649,26.0,26.0
66,543DOLU7,TMCM21,20210315,1.0,1.0,0.8039797679537649,-101.0,101.0
67,471JJI5,TMCM21,20210315,7.0,0.1691542288557214,0.3000875339187543,-136.0,804.0
68,0813O,TMCM21,20210315,1.0,1.0,0.8497990577638628,-4.0,4.0
69,300JTQNERG,TMCM21,20210315,1.0,1.0,0.8678463518795959,4.0,4.0
70,0826H0EU,TMCM21,20210315,10.0,0.7913561847988078,0.7118119196322089,531.0,671.0
71,3879FHC,TMCM21,20210315,1.0,1.0,0.9167405947296423,-40.0,40.0
72,4249D,TMCM21,20210315,1.0,1.0,0.9248452255159166,-251.0,251.0
73,082MRTQMD,TMCM21,20210315,1.0,1.0,0.9254657188601338,-25.0,25.0
74,3505V1,TMCM21,20210315,1.0,1.0,0.9347236924198872,-2.0,2.0
75,036DPEMDRIWLT2R,TMCM21,20210315,2.0,1.0,0.9463204468147677,-3.0,3.0
76,656EDDAAT28K,TMCM21,20210315,1.0,1.0,0.9738250596707345,2.0,2.0
77,424OID,TMCM21,20210315,1.0,1.0,0.9738250596707345,2.0,2.0
78,1181R5I5XOZC,TYGH21,20210315,86.0,0.08426966292134831,0.08025567003023307,15.0,178.0
79,4241,TYGH21,20210315,5.0,0.5,0.4761836421793795,-8.0,16.0
80,424FRTFQF6MNK6,TYGH21,20210315,6.0,0.0,0.0,0.0,16.0
81,424P3SO1ZO9,TYGH21,20210315,8.0,0.05555555555555555,0.05290929357548637,-1.0,18.0
82,472TOOA4QWHH,TYGH21,20210315,6.0,0.4166666666666667,0.39681970181615217,-5.0,12.0
83,424QE9A,TYGH21,20210315,28.0,0.16666666666666666,0.15780867039359192,9.0,54.0
84,586EFB7,TYGH21,20210315,888.0,0.0137546468401487,0.020258544146913474,37.0,2690.0
85,1680AYV,TYGH21,20210315,3023.0,0.02880985495728194,0.021220764735464543,290.0,10066.0
86,020X68X3J,TYGH21,20210315,7360.0,0.019739232228636015,0.015424186033402069,-489.0,24773.0
87,696Q3,TYGH21,20210315,4336.0,0.008211496094532346,0.008541068852691609,82.0,9986.0
88,418LVPA55FLET9,TYGH21,20210315,235.0,0.11984021304926765,0.10736861077408445,-90.0,751.0
89,418BKI,TYGH21,20210315,252.0,0.0724450194049159,0.06318499080025491,56.0,773.0
90,16866,TYGH21,20210315,26.0,0.0975609756097561,0.02535139590087066,4.0,41.0
91,118TWBGA2D5IPN,TYGH21,20210315,10.0,0.2222222222222222,0.24082577058559765,-4.0,18.0
92,317ZYHT0Q2MB,TYGH21,20210315,774.0,0.0037576326914044154,0.012555489660586628,8.0,2129.0
93,082C9903IM,TYGH21,20210315,3.0,0.2,0.3483271487062566,-1.0,5.0
94,554RNIPXHE6DBP,TYGH21,20210315,467.0,0.007756948933419522,0.013172446946836195,12.0,1547.0
